Eligibility Year,Eligibility Month,Economic Region,Aid Category,Dual Eligible,Managed Care vs. Fee For Service,Plan Name,Plan Type,Gender,Age Group,Race,Number of Recipients
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,ASIAN,6
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,BLACK,133
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,HISPANIC,144
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,NATIVE AMERICAN,1
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,OTHER,72
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,00-20,WHITE,81
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,ASIAN,8
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,BLACK,197
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,HISPANIC,105
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,NATIVE AMERICAN,5
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,OTHER,60
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,21-44,WHITE,192
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,ASIAN,28
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,BLACK,338
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,HISPANIC,221
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,NATIVE AMERICAN,7
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,OTHER,56
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,45-64,WHITE,456
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,ASIAN,103
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,BLACK,117
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,HISPANIC,237
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,NATIVE AMERICAN,8
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,OTHER,32
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Female,65+,WHITE,53
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,ASIAN,14
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,BLACK,242
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,HISPANIC,238
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,NATIVE AMERICAN,6
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,OTHER,141
2013,1,Long Island,SSI,NO,MMC,HEALTHFIRST,HMO/PHSP,Male,00-20,WHITE,201
